date,Germany,Euro area (EA20),Spain,France,Italy
1995,54.9,71.7,61.6,57.8,119.1
1996,57.7,73.4,65.4,60.6,118.9
1997,58.8,72.9,64.3,62,116.5
1998,59.4,72.6,62.4,62.1,113.9
1999,60.3,71.6,60.9,61.4,113.1
2000,59.2,69.2,57.8,59.7,108.7
2001,58.1,68.2,54.1,59.3,108.5
2002,59.8,68.1,51.2,61.3,105.9
2003,63.3,69.4,47.7,65.4,105.1
2004,65,69.7,45.3,66.9,104.7
2005,67.1,70.3,42.4,68.2,106.2
2006,66.4,68.3,39,65.4,106.3
2007,63.7,65.9,35.7,65.5,103.5
2008,65.2,69.6,39.6,69.8,105.8
2009,72.4,80,53.1,84.1,116.1
2010,81,85.4,60.3,86.3,118.8
2011,78.5,87.3,69.5,88.7,119.1
2012,79.8,90.8,89.6,91.7,125.9
2013,77.5,92.8,100,94.6,131.9
2014,74.5,92.9,104.4,96.2,134.8
2015,71.2,91,102.5,97,134.8
2016,68.3,89.9,102,98.1,134.2
2017,64,87.5,101.2,98.8,133.7
2018,60.8,85.5,99.8,98.5,134.2
2019,58.7,83.6,97.7,98.2,133.9
2020,68,96.5,119.3,114.9,154.4
2021,67.9,93.8,115.7,112.8,145.8
2022,64.4,89.3,109.3,111.4,138.4
2023,62.3,87,105.2,109.8,133.9
2024,62.2,87.1,101.6,113.2,134.9
