country,time,exports,imports
AT,2002-01-01,83199,82803.6
AT,2003-01-01,85878.8,87987.5
AT,2004-01-01,95164.9,96394.7
AT,2005-01-01,100620.6,102344.8
AT,2006-01-01,108913.1,109280
AT,2007-01-01,119387.4,118961.9
AT,2008-01-01,123258.8,125301.4
AT,2009-01-01,98213.7,102569.1
AT,2010-01-01,115078.5,119943.5
AT,2011-01-01,127462.4,137512.5
AT,2012-01-01,129678.5,138942.4
AT,2013-01-01,131884.6,137999.8
AT,2014-01-01,134172.5,137001.2
AT,2015-01-01,137756.8,140699.2
AT,2016-01-01,137409.9,142511.9
AT,2017-01-01,148756.4,155576.3
AT,2018-01-01,156428.8,164007.6
AT,2019-01-01,159588.5,165008.3
AT,2020-01-01,148288,150934.7
AT,2021-01-01,171541.2,185732.3
AT,2022-01-01,201398.4,221991.8
AT,2023-01-01,207254.5,209277.5
AT,2024-01-01,197847.7,195634.7
BE,2002-01-01,228561.1,209719.8
BE,2003-01-01,225969.6,207695.2
BE,2004-01-01,246697,229617
BE,2005-01-01,268788.8,256169
BE,2006-01-01,292087.1,280053.4
BE,2007-01-01,314448.7,300297.7
BE,2008-01-01,320805.2,317043.4
BE,2009-01-01,265986,254367.4
BE,2010-01-01,307529.9,295072.1
BE,2011-01-01,341718.2,335447.4
BE,2012-01-01,347088.6,341787.5
BE,2013-01-01,352955.7,340092.9
BE,2014-01-01,355287.7,341426.8
BE,2015-01-01,357771.8,338569.8
BE,2016-01-01,359757.3,342831.4
BE,2017-01-01,380590.4,362585.6
BE,2018-01-01,396270,385355.1
BE,2019-01-01,399841.1,383385
BE,2020-01-01,369963.6,346763
BE,2021-01-01,466867.6,446063.5
BE,2022-01-01,607029,594550
BE,2023-01-01,535177.5,522583.5
BE,2024-01-01,512373.7,486057.3
BG,2002-01-01,6062.9,8411.2
BG,2003-01-01,6668.2,9610.5
BG,2004-01-01,7984.9,11619.5
BG,2005-01-01,9223.3,12497.5
BG,2006-01-01,11748.1,15424.2
BG,2007-01-01,13512.1,21861.5
BG,2008-01-01,15204.1,25093.9
BG,2009-01-01,11699.5,16875.9
BG,2010-01-01,15561.4,19245.1
BG,2011-01-01,20264.6,23406.5
BG,2012-01-01,20770.5,25459.5
BG,2013-01-01,22271.8,25828.5
BG,2014-01-01,22043.6,26118.3
BG,2015-01-01,22877.6,26346.8
BG,2016-01-01,24021.8,26158.7
BG,2017-01-01,27779.9,30213.2
BG,2018-01-01,28495.9,32083.5
BG,2019-01-01,29788.7,33650.3
BG,2020-01-01,27966.9,30648.8
BG,2021-01-01,34822.3,39128.1
BG,2022-01-01,47508.8,55175.8
BG,2023-01-01,44377.3,49605.9
BG,2024-01-01,44249,50840.7
CY,2002-01-01,449.4,3902.9
CY,2003-01-01,421.2,3576.9
